hash_,rating,position,name,club,league,country,skillboost
11675,68,CAM,Berthomier,"Clermont Foot","France Ligue 2",France,VISION
11676,68,CDM,Rolón,"Málaga CF","Spain Segunda División",Argentina,INTERCEPTIONS
11677,68,ST,Durmishaj,Waasland-Beveren,"Belgium Pro League",Greece,POACHER
11678,68,ST,Škuletić,"Montpellier HSC","France Ligue 1",Serbia,FINISHING
11679,68,CB,Pearce,"Charlton Athletic","England Championship",England,TACKLING
11680,68,CB,"Ricardo Ferreira",Belenenses,"Portugal Primeira Liga",Portugal,HOLDING
11681,68,RB,Lustig,Gent,"Belgium Pro League",Sweden,CROSSING
11682,68,GK,Kieszek,"Rio Ave","Portugal Primeira Liga",Poland,GKGENERALIST
11683,68,CAM,Philipp,"Werder Bremen","Germany 1. Bundesliga",Germany,VISION
11684,68,GK,"Alfonso Herrero","Real Oviedo","Spain Segunda División",Spain,HANDLING
11685,68,CB,Perić,"Dinamo Zagreb","Rest of W",Croatia,PHYSICAL
11686,68,ST,Tagueu,Marítimo,"Portugal Primeira Liga",Cameroon,POACHER
11687,68,CM,Henderson,"Hellas Verona","Italy Serie A",Scotland,PASSING
11688,68,ST,"Jorge Pombo","Real Zaragoza","Spain Segunda División",Spain,TARGETMAN
11689,68,CAM,"Borja Lasso","CD Tenerife","Spain Segunda División",Spain,COUNTER
11690,68,GK,Asselah,"Al Hazem","Saudi Pro League",Algeria,DIVING
11691,68,CAM,Fettouhi,"Al Hazem","Saudi Pro League",Morocco,VISION
11692,68,LM,Aarons,"Wycombe Wanderers","England League One",England,FREEKICK
11693,68,RB,Rosenberry,"Colorado Rapids","USA Major League Soccer","United States",CROSSING
11694,68,CB,Leeuwin,"Odense Boldklub","Denmark Superliga",Netherlands,HOLDING
11695,68,CM,Espinoza,"Sporting KC","USA Major League Soccer",Honduras,LONGPASSING
11696,68,GK,"M Bolhi","Al Ettifaq","Saudi Pro League",Algeria,NUMBER1
11697,68,LM,Schobesberger,"Rapid Wien","Austria Bundesliga",Austria,VISION
11698,68,LM,"Jeong Woon","Jeju United","Korea K-League 1","Korea Republic",FREEKICK
11699,68,ST,Fernández,"Al Fayha","Saudi Pro League",Chile,SHOOTING
11700,68,RM,Salazar,"Rionegro Águilas Doradas","Colombia Categoría Primera",Colombia,LONGSHOTS
11701,68,GK,Rubén,"CA Osasuna","Spain Primera División",Spain,NUMBER1
11702,68,RB,Somália,"Al Shabab","Saudi Pro League",Brazil,DEFENDING
11703,68,CB,Worrall,"Nottingham Forest","England Championship",England,TACKLING
11704,68,LM,Maina,"Hannover 96","Germany 2. Bundesliga",Germany,VISION
11705,68,CM,Deli,Cremonese,"Italy Serie B",Italy,DESTROYER
11706,68,GK,Linde,"Molde FK","Norway Eliteserien",Sweden,GKPOSITIONING
11707,68,CB,Vilches,"Union La Calera","Chile Primera División",Chile,PHYSICAL
11708,68,CM,Kara,Kasımpaşa,"Turkey Süper Lig",Turkey,BOXTOBOX
11709,68,CB,Dunkley,"Wigan Athletic","England Championship",England,STRENGTH
11710,68,CDM,"Shin Hyung Min","Jeonbuk Hyundai Motors","Korea K-League 1","Korea Republic",DESTROYER
11711,68,RW,Eric,"FC Viitorul","Romania Liga I",Brazil,SHOTPOWER
11712,68,CDM,Owusu,Gent,"Belgium Pro League",France,CAPTAIN
11713,68,ST,Ferreira,"Monarcas Morelia","Mexico Liga MX",Paraguay,SHOOTING
11714,68,CM,Fein,"Hamburger SV","Germany 2. Bundesliga",Germany,INTERCEPTIONS
11715,68,LB,Turan,"MKE Ankaragücü","Turkey Süper Lig",Turkey,BALANCED
11716,68,CB,Bormuth,"Fortuna Düsseldorf","Germany 1. Bundesliga",Germany,MARKING
11717,68,CM,Cicâldău,"Universitatea Craiova","Romania Liga I",Romania,BOXTOBOX
11718,68,ST,Chorý,"Viktoria Plzeň","Rest of W","Czech Republic",SHOOTING
11719,68,GK,Seculin,Sampdoria,"Italy Serie A",Italy,GKGENERALIST
11720,68,CM,Schoofs,"KV Mechelen","Belgium Pro League",Belgium,CAPTAIN
11721,68,CB,Henríquez,"Atlético Nacional","Colombia Categoría Primera",Colombia,TACKLING
11722,68,CM,"Kwon Soon Hyung","Seongnam FC","Korea K-League 1","Korea Republic",LONGPASSING
11723,68,CB,Hüsing,"1. FC Heidenheim","Germany 2. Bundesliga",Germany,AGGRESSION
11724,68,RB,Depaoli,Sampdoria,"Italy Serie A",Italy,CROSSING
11725,68,LM,"Shim Dong Woon","Pohang Steelers","Korea K-League 1","Korea Republic",FREEKICK
11726,68,LB,Calderoni,Lecce,"Italy Serie A",Italy,CROSSING
11727,68,CB,Mensah,"Columbus Crew SC","USA Major League Soccer",Ghana,STOPPER
11728,68,LB,Martella,Brescia,"Italy Serie A",Italy,DEFENDING
11729,68,GK,McDermott,"Kristiansund BK","Norway Eliteserien","Republic of Ireland",GKPOSITIONING
11730,68,CM,Robayo,"Atlético Bucaramanga","Colombia Categoría Primera",Colombia,LONGPASSING
11731,68,LB,Sylla,"Toulouse FC","France Ligue 1",Guinea,BALANCED
11732,68,CM,Gori,Frosinone,"Italy Serie B",Italy,CAPTAIN
11733,68,CB,Bernardo,"AD Alcorcón","Spain Segunda División",Spain,PHYSICAL
11734,68,CB,Paz,Bologna,"Italy Serie A",Argentina,AGGRESSION
11735,68,ST,Lafferty,Sunderland,"England League One","Northern Ireland",SHOOTING
11736,68,LM,Blum,"VfL Bochum","Germany 2. Bundesliga",Germany,VISION
11737,68,CB,Hefele,"Nottingham Forest","England Championship",Germany,PHYSICAL
11738,68,RB,Tripichio,"Defensa y Justicia","Argentina Primera División",Argentina,CROSSING
11739,68,GK,Steer,"Aston Villa","England Premier League",England,HANDLING
11740,68,CB,"Jang Hyeon Soo","Al Hilal","Saudi Pro League","Korea Republic",STRENGTH
11741,68,ST,Koljić,"Universitatea Craiova","Romania Liga I","Bosnia and Herzegovina",POACHER
11742,68,CB,Alexis,"Racing de Santander","Spain Segunda División",Spain,TACKLING
11743,68,ST,Wells,"Bristol City","England Championship",Bermuda,SHOOTING
11744,68,GK,Maksimenko,"Spartak Moskva","Rest of W",Russia,GKPOSITIONING
11745,68,CDM,Domínguez,"Alianza Petrolera","Colombia Categoría Primera",Colombia,LONGPASSING
11746,68,RM,Garnica,"Santos Laguna","Mexico Liga MX",Mexico,LONGSHOTS
11747,68,LM,Beghetto,Frosinone,"Italy Serie B",Italy,FREEKICK
11748,68,CM,Gardner,"Birmingham City","England Championship",England,CAPTAIN
11749,68,LM,McKay,"Swansea City","England Championship",Scotland,VISION
11750,68,ST,Pinamonti,Genoa,"Italy Serie A",Italy,SHOOTING
11751,68,RB,Guidara,"Vélez Sarsfield","Argentina Primera División",Argentina,REACTIONS
11752,68,CM,Haugen,"SK Brann","Norway Eliteserien",Norway,PASSING
11753,68,RB,"O Donnell",Kilmarnock,"Scotland Premiership",Scotland,DEFENDING
11754,68,ST,Alibec,"Astra Giurgiu","Romania Liga I",Romania,ACCELERATION
11755,68,LB,Villafaña,"Portland Timbers","USA Major League Soccer","United States",CROSSING
11756,68,ST,Antonsson,"Malmö FF","Sweden Allsvenskan",Sweden,TARGETMAN
11757,68,CDM,Peñalba,"Tiburones Rojos de Veracruz","Mexico Liga MX",Argentina,BOXTOBOX
11758,68,RM,Deminguet,"SM Caen","France Ligue 2",France,INTERCEPTIONS
11759,68,ST,Caicedo,"Independiente Medellín","Colombia Categoría Primera",Colombia,ACCELERATION
11760,68,GK,Milinković-Savić,"Standard Liège","Belgium Pro League",Serbia,GKPOSITIONING
11761,68,CDM,Sánchez,"Junior de Barranquilla","Colombia Categoría Primera",Colombia,CAPTAIN
11762,68,RB,Paulinho,"AEK Athens","Rest of W",Portugal,PACE
11763,68,CB,Saveljich,"Rayo Vallecano","Spain Segunda División",Montenegro,PHYSICAL
11764,68,RW,Farfán,"Coquimbo Unido","Chile Primera División",Chile,ATTACKING
11765,68,ST,Kane,"St. Johnstone","Scotland Premiership",Scotland,SECONDSTRIKER
11766,68,CDM,"Kim Eun Sun","Central Coast Mariners","Australia A-League","Korea Republic",CAPTAIN
11767,68,ST,Jerome,Göztepe,"Turkey Süper Lig",England,TARGETMAN
11768,68,RB,Hernández,Aberdeen,"Scotland Premiership",Venezuela,CROSSING
11769,68,LM,Avdijaj,"Heart of Midlothian","Scotland Premiership",Kosovo,VISION
11770,68,CB,Windbichler,"Melbourne City","Australia A-League",Austria,MARKING
11771,68,CDM,Fofana,"FC Metz","France Ligue 1",Mali,PASSING
11772,68,CB,Watson,"Ross County","Scotland Premiership",Scotland,STRENGTH
11773,68,GK,"Lee Bum Soo","Gangwon FC","Korea K-League 1","Korea Republic",GKGENERALIST
11774,68,CDM,Coutadeur,"AC Ajaccio","France Ligue 2",France,LONGPASSING
11775,68,CB,Meza,"Atlanta United FC","USA Major League Soccer",Argentina,STOPPER
11776,68,ST,Grigg,Sunderland,"England League One","Northern Ireland",TARGETMAN
11777,68,CB,Cadavid,"Independiente Medellín","Colombia Categoría Primera",Colombia,TACKLING
11778,68,LB,Meling,"Rosenborg BK","Norway Eliteserien",Norway,DEFENDING
11779,68,CB,"João Afonso","Santa Clara","Portugal Primeira Liga",Portugal,MARKING
11780,68,CDM,Andrada,"Godoy Cruz","Argentina Primera División",Argentina,BOXTOBOX
11781,68,RM,Zhemaletdinov,"Lokomotiv Moskva","Rest of W",Russia,BALLCONTROL
11782,68,LM,"Ji Eon Hak","Incheon United","Korea K-League 1","Korea Republic",FREEKICK
11783,68,CM,Battocchio,"Stade Brestois 29","France Ligue 1",Italy,PASSING
11784,68,LM,Terrazzino,"Dynamo Dresden","Germany 2. Bundesliga",Germany,FREEKICK
11785,68,ST,Keita-Ruel,"SpVgg Greuther Fürth","Germany 2. Bundesliga",France,ACCELERATION
11786,68,CM,"Lee Woo Hyeok","Incheon United","Korea K-League 1","Korea Republic",LONGPASSING
11787,68,CB,Bergström,"FC Basel","Switzerland Super League",Sweden,STRENGTH
11788,68,GK,Koval,"Al Fateh","Saudi Pro League",Ukraine,HANDLING
11789,68,RB,Romat,Huracán,"Argentina Primera División",Argentina,DEFENDING
11790,68,CAM,"Yun Yong Ho","Seongnam FC","Korea K-League 1","Korea Republic",FREEKICK
11791,68,GK,Linnér,"Arminia Bielefeld","Germany 2. Bundesliga",Sweden,HANDLING
11792,68,RM,Sax,"Austria Wien","Austria Bundesliga",Austria,VISION
11793,68,GK,Bråtveit,"Djurgårdens IF","Sweden Allsvenskan",Norway,DIVING
11794,68,CAM,Coopman,Antwerp,"Belgium Pro League",Belgium,FREEKICK
11795,68,LM,"Ricardo Lopes","Jeonbuk Hyundai Motors","Korea K-League 1",Brazil,LONGSHOTS
11796,68,CM,Pêpê,"Vitória Guimarães","Portugal Primeira Liga",Portugal,PASSING
11797,68,GK,"Lee Tae Hee","Incheon United","Korea K-League 1","Korea Republic",GKGENERALIST
11798,68,CB,"Jeong Seung Hyun","Ulsan Hyundai","Korea K-League 1","Korea Republic",MARKING
11799,68,GK,"Pedro Trigueira",Moreirense,"Portugal Primeira Liga",Portugal,GKPOSITIONING
11800,68,ST,Hogan,"Stoke City","England Championship","Republic of Ireland",POACHER
11801,68,LM,Penilla,"New England Revolution","USA Major League Soccer",Ecuador,COUNTER
11802,68,LB,Cobbaut,Anderlecht,"Belgium Pro League",Belgium,DEFENDING
11803,68,CM,"O Neill","Pohang Steelers","Korea K-League 1",Australia,CAPTAIN
11804,68,LB,"Lee Ju Yong","Jeonbuk Hyundai Motors","Korea K-League 1","Korea Republic",CROSSING
11805,68,CM,Maiello,Frosinone,"Italy Serie B",Italy,INTERCEPTIONS
11806,68,LM,Sandoval,Guadalajara,"Mexico Liga MX",Mexico,LONGSHOTS
11807,68,CDM,Bodiger,"Cádiz CF","Spain Segunda División",France,LONGPASSING
11808,68,RB,"Luis Pérez","CD Tenerife","Spain Segunda División",Spain,REACTIONS
11809,68,CM,Barkok,"Fortuna Düsseldorf","Germany 1. Bundesliga",Germany,LONGPASSING
11810,68,CB,Mavropanos,Arsenal,"England Premier League",Greece,STRENGTH
11811,68,RM,"Choi Oh Back","Seongnam FC","Korea K-League 1","Korea Republic",FREEKICK
11812,68,CAM,"Iñigo Vicente","CD Mirandés","Spain Segunda División",Spain,VISION
11813,68,CDM,Tesche,"VfL Bochum","Germany 2. Bundesliga",Germany,LONGPASSING
11814,68,CAM,Windass,"Wigan Athletic","England Championship",England,LONGSHOTS
11815,68,GK,"Diogo Costa","FC Porto","Portugal Primeira Liga",Portugal,GKGENERALIST
11816,68,RW,"Jordi Mboula","Cercle Brugge","Belgium Pro League",Spain,SHOTPOWER
11817,68,CB,Nolaskoain,"RC Deportivo","Spain Segunda División",Spain,AGGRESSION
11818,68,CAM,"Lee Jin Hyun","Daegu FC","Korea K-League 1","Korea Republic",FREEKICK
11819,68,CM,"Jean Lucas","Olympique Lyonnais","France Ligue 1",Brazil,INTERCEPTIONS
11820,68,CDM,Arslan,"Demir Grup Sivasspor","Turkey Süper Lig",Turkey,CAPTAIN
11821,68,ST,"Lim Jae Hyeok","Daegu FC","Korea K-League 1","Korea Republic",POACHER
11822,68,GK,Plach,"Piast Gliwice","Poland Ekstraklasa",Slovakia,REFLEXES
11823,68,CM,Brunt,"West Bromwich Albion","England Championship","Northern Ireland",CAPTAIN
11824,68,CB,Kagelmacher,Kortrijk,"Belgium Pro League",Uruguay,TACKLING
11825,68,ST,"Hugo Vieira","Gil Vicente FC","Portugal Primeira Liga",Portugal,ACCELERATION
11826,68,CM,Drygas,"Pogoń Szczecin","Poland Ekstraklasa",Poland,PASSING
11827,68,CB,Behrendt,"Arminia Bielefeld","Germany 2. Bundesliga",Germany,STOPPER
11828,68,CM,Svanberg,Bologna,"Italy Serie A",Sweden,PASSING
11829,68,LW,"Kim Kyung Jung","Gangwon FC","Korea K-League 1","Korea Republic",SPEED
11830,68,GK,Leali,Ascoli,"Italy Serie B",Italy,HANDLING
11831,68,ST,Boadu,AZ,"Holland Eredivisie",Netherlands,ACCELERATION
11832,68,CB,Perea,"Atlético Nacional","Colombia Categoría Primera",Colombia,HOLDING
11833,68,LM,Sammaritano,"Dijon FCO","France Ligue 1",France,VISION
11834,68,LB,"D Haene",Kortrijk,"Belgium Pro League",Belgium,DEFENDING
11835,68,CAM,Benny,Belenenses,"Portugal Primeira Liga",Portugal,VISION
11836,68,CDM,"Zheng Zhi","Guangzhou Evergrande Taobao","China Super League","China PR",INTERCEPTIONS
11837,68,CDM,Moreno,"D.C. United","USA Major League Soccer",Venezuela,PASSING
11838,68,LB,Holland,"SV Darmstadt 98","Germany 2. Bundesliga",Germany,DEFENDING
11839,68,LM,Mosquera,"FC Dallas","USA Major League Soccer",Colombia,BALLCONTROL
11840,68,CB,Varnier,Pisa,"Italy Serie B",Italy,HOLDING
11841,68,CDM,Morsy,"Wigan Athletic","England Championship",Egypt,PASSING
11842,68,CM,Antonis,"Suwon Bluewings","Korea K-League 1",Australia,LONGPASSING
11843,68,LB,Wagner,"Philadelphia Union","USA Major League Soccer",Germany,CROSSING
11844,68,LB,Anzai,Portimonense,"Portugal Primeira Liga",Japan,CROSSING
11845,68,ST,Nenê,Moreirense,"Portugal Primeira Liga",Brazil,TARGETMAN
11846,68,RM,Esswein,"Hertha BSC","Germany 1. Bundesliga",Germany,BALLCONTROL
11847,68,CB,Magnani,Sassuolo,"Italy Serie A",Italy,PHYSICAL
11848,68,LM,"Aitor García","Real Sporting de Gijón","Spain Segunda División",Spain,VISION
11849,68,GK,García,Toluca,"Mexico Liga MX",Mexico,DIVING
11850,68,GK,Makani,"Mjøndalen IF","Norway Eliteserien",Iran,REFLEXES
11851,68,RW,Hložek,"Sparta Praha","Rest of W","Czech Republic",SHOTPOWER
11852,68,CDM,Kroos,"1. FC Union Berlin","Germany 1. Bundesliga",Germany,BOXTOBOX
11853,68,RW,Bolados,"CD Viñazur","Chile Primera División",Chile,ATTACKING
11854,68,LM,Bruno,"Olympiacos CFP","Rest of W",Brazil,VISION
11855,68,CDM,Campuzano,"Buenos Aires","Argentina Primera División",Colombia,INTERCEPTIONS
11856,68,ST,Tveter,"Sarpsborg 08 FF","Norway Eliteserien",Norway,ACCELERATION
11857,68,GK,Provedel,"Juve Stabia","Italy Serie B",Italy,NUMBER1
11858,68,LB,Mossa,"Real Oviedo","Spain Segunda División",Spain,DEFENDING
11859,68,GK,Myhra,"Strømsgodset Toppfotball","Norway Eliteserien",Norway,GKGENERALIST
11860,68,GK,"Luís Maximiano","Sporting CP","Portugal Primeira Liga",Portugal,HANDLING
11861,68,LB,Valentin,"Portland Timbers","USA Major League Soccer","Puerto Rico",PACE
11862,68,CB,Jiménez,"Tiburones Rojos de Veracruz","Mexico Liga MX",Colombia,MARKING
11863,68,CDM,Ulvestad,"Kristiansund BK","Norway Eliteserien",Norway,LONGPASSING
11864,68,RB,Zusi,"Sporting KC","USA Major League Soccer","United States",DEFENDING
11865,68,CM,Corona,"Los Angeles Galaxy","USA Major League Soccer","United States",LONGPASSING
11866,68,CB,Claiton,Cremonese,"Italy Serie B",Brazil,AGGRESSION
11867,68,CM,Haas,Frosinone,"Italy Serie B",Switzerland,BOXTOBOX
11868,68,CM,Valls,"Nîmes Olympique","France Ligue 1",France,LONGPASSING
11869,68,CAM,Špalek,Brescia,"Italy Serie A",Slovakia,BALLCONTROL
11870,68,LB,Moe,"Stabæk Fotball","Norway Eliteserien",Norway,DEFENDING
11871,68,LM,Estupiñán,"Deportes Tolima","Colombia Categoría Primera",Colombia,LONGSHOTS
11872,68,RW,Mabil,"FC Midtjylland","Denmark Superliga",Australia,ATTACKING
11873,68,GK,Cuadrado,"Atlético Nacional","Colombia Categoría Primera",Colombia,DIVING
11874,68,CB,Konsa,"Aston Villa","England Premier League",England,TACKLING
11875,68,RB,Bjørshol,"Viking FK","Norway Eliteserien",Norway,BALANCED
11876,68,RB,Madueña,"Cruz Azul","Mexico Liga MX",Mexico,CROSSING
11877,68,LM,Kurzawa,"Amiens SC","France Ligue 1",Poland,VISION
11878,68,CAM,Reina,"Independiente Medellín","Colombia Categoría Primera",Colombia,FREEKICK
11879,68,ST,Hrgota,"SpVgg Greuther Fürth","Germany 2. Bundesliga",Sweden,POACHER
11880,68,CDM,Fuentes,"Universidad Católica","Chile Primera División",Chile,INTERCEPTIONS
11881,68,CDM,"Cai Huikang","Shanghai SIPG","China Super League","China PR",LONGPASSING
11882,68,ST,Kamberi,Hibernian,"Scotland Premiership",Switzerland,SHOOTING
11883,68,CB,Lampropoulos,"VfL Bochum","Germany 2. Bundesliga",Greece,MARKING
11884,68,CDM,Meffert,"Holstein Kiel","Germany 2. Bundesliga",Germany,CAPTAIN
11885,68,LM,Andrade,Atlas,"Mexico Liga MX",Colombia,FREEKICK
11886,68,CAM,Dowell,"Derby County","England Championship",England,FREEKICK
11887,68,CM,Pittón,"San Lorenzo de Almagro","Argentina Primera División",Argentina,PASSING
11888,68,LB,Kravets,"CD Leganés","Spain Primera División",Ukraine,BALANCED
11889,68,RB,"Iván Rodríguez","SD Ponferradina","Spain Segunda División",Spain,BALANCED
11890,68,CB,Sielis,"Gangwon FC","Korea K-League 1",Cyprus,TACKLING
11891,68,RB,Stacey,Bournemouth,"England Premier League",England,BALANCED
11892,68,GK,Rúnarsson,"Dijon FCO","France Ligue 1",Iceland,GKGENERALIST
11893,68,CAM,Tremolada,Pordenone,"Italy Serie B",Italy,VISION
11894,68,ST,Spinelli,"Gimnasia y Esgrima La Plata","Argentina Primera División",Argentina,TARGETMAN
11895,68,LB,Çek,Denizlispor,"Turkey Süper Lig",Turkey,BALANCED
11896,68,CM,Echeverría,"Everton de Viña del Mar","Chile Primera División",Chile,DESTROYER
11897,68,CM,Ulvestad,"Djurgårdens IF","Sweden Allsvenskan",Norway,BOXTOBOX
11898,68,CM,Tchouaméni,"AS Monaco","France Ligue 1",France,LONGPASSING
11899,68,ST,"Gao Lin","Guangzhou Evergrande Taobao","China Super League","China PR",POACHER
11900,68,CM,Valdés,"CD Viñazur","Chile Primera División",Chile,CAPTAIN
11901,68,RM,Cash,"Nottingham Forest","England Championship",England,LONGSHOTS
11902,68,ST,Taylor,"Charlton Athletic","England Championship",Montserrat,POACHER
11903,68,LM,Aguirre,Pachuca,"Mexico Liga MX",Mexico,COUNTER
11904,68,ST,Rodri,"Real Oviedo","Spain Segunda División",Spain,FINISHING
11905,68,LW,Mansilla,"Vitória Setúbal","Portugal Primeira Liga",Argentina,ATTACKING
11906,68,LM,"Fran Villalba","Birmingham City","England Championship",Spain,VISION
11907,68,CM,Viola,Benevento,"Italy Serie B",Italy,INTERCEPTIONS
11908,68,GK,Shevchenko,"Shakhtar Donetsk","Rest of W",Ukraine,GKGENERALIST
11909,68,ST,Saadi,"Cercle Brugge","Belgium Pro League",Algeria,POACHER
11910,68,CB,Kanstrup,SønderjyskE,"Denmark Superliga",Denmark,AGGRESSION
11911,68,LM,Andersen,"Molde FK","Norway Eliteserien",Norway,FREEKICK
11912,68,ST,Macías,Guadalajara,"Mexico Liga MX",Mexico,FINISHING
11913,68,CM,Bryson,Aberdeen,"Scotland Premiership",Scotland,BOXTOBOX
11914,68,GK,Fraga,"Pumas U.N.A.M.","Mexico Liga MX",Mexico,HANDLING
11915,68,RB,"Abd Elhamed",Celtic,"Scotland Premiership",Israel,CROSSING
11916,68,CDM,Felipe,"D.C. United","USA Major League Soccer",Brazil,LONGPASSING
11917,68,CB,Bălașa,"Universitatea Craiova","Romania Liga I",Romania,AGGRESSION
11918,68,CM,Kaiser,"Brøndby IF","Denmark Superliga",Germany,BOXTOBOX
11919,68,RM,Gyasi,"FC Dallas","USA Major League Soccer",Ghana,FREEKICK
11920,68,LM,"José Arnáiz","CD Leganés","Spain Primera División",Spain,FREEKICK
11921,68,CAM,Maddison,"Hull City","England Championship",England,FREEKICK
11922,68,LM,Esparza,Colón,"Argentina Primera División",Argentina,FREEKICK
11923,68,LW,"Zé Manuel","Santa Clara","Portugal Primeira Liga",Portugal,SHOTPOWER
11924,68,RM,Aiesh,"IFK Göteborg","Sweden Allsvenskan",Sweden,FREEKICK
11925,68,LB,Aldrete,"Cruz Azul","Mexico Liga MX",Mexico,DEFENDING
11926,68,ST,Barragán,"Pumas U.N.A.M.","Mexico Liga MX",Mexico,SHOOTING
11927,68,CB,Onuoha,"Real Salt Lake","USA Major League Soccer",England,AGGRESSION
11928,68,CB,"Dell Orco",Lecce,"Italy Serie A",Italy,STRENGTH
11929,68,ST,Wriedt,"Bayern München II","Germany 3. Liga",Ghana,ACCELERATION
11930,68,CM,Zuculini,Venezia,"Italy Serie B",Argentina,LONGPASSING
11931,68,RB,Klünter,"Hertha BSC","Germany 1. Bundesliga",Germany,DEFENDING
11932,68,RM,Bruno,"Zulte Waregem","Belgium Pro League",Belgium,LONGSHOTS
11933,68,RB,Farrell,"New England Revolution","USA Major League Soccer","United States",DEFENDING
11934,68,RM,Kubo,"RCD Mallorca","Spain Primera División",Japan,FREEKICK
11935,68,ST,Wickham,"Crystal Palace","England Premier League",England,TARGETMAN
11936,68,GK,Diallo,Gençlerbirliği,"Turkey Süper Lig",Senegal,HANDLING
11937,68,CB,Tamaș,"Astra Giurgiu","Romania Liga I",Romania,AGGRESSION
11938,68,ST,"Luís Leal","Newell s Old Boys","Argentina Primera División","São Tomé e Príncipe",POACHER
11939,68,RB,Gabriel,"Dinamo București","Romania Liga I",Brazil,CROSSING
11940,68,ST,Campbell,"Huddersfield Town","England Championship",England,FINISHING
11941,68,LM,Cisneros,Toluca,"Mexico Liga MX",Mexico,FREEKICK
11942,68,ST,Németh,"Sporting KC","USA Major League Soccer",Hungary,TARGETMAN
11943,68,ST,Yatabaré,"Demir Grup Sivasspor","Turkey Süper Lig",Mali,SECONDSTRIKER
11944,68,GK,Batalla,"Union La Calera","Chile Primera División",Argentina,HANDLING
11945,68,CM,Izco,"Juve Stabia","Italy Serie B",Argentina,LONGPASSING
11946,68,CM,Maier,"Admira Wacker","Austria Bundesliga",Austria,PASSING
11947,68,ST,Moncini,Benevento,"Italy Serie B",Italy,ACCELERATION
11948,68,LM,Randjelovic,"Olympiacos CFP","Rest of W",Serbia,VISION
11949,68,LB,Robinson,"Nottingham Forest","England Championship",England,PACE
11950,68,LWB,Lenjani,"FC Sion","Switzerland Super League",Albania,BALANCED
11951,68,CF,Sigurðsson,"CSKA Moskva","Rest of W",Iceland,TARGETMAN
11952,68,RB,Gölles,"WSG Tirol","Austria Bundesliga",Austria,BALANCED
11953,68,CB,Peralta,"Cúcuta Deportivo","Colombia Categoría Primera",Colombia,STRENGTH
11954,68,CF,Nino,"Elche CF","Spain Segunda División",Spain,POACHER
11955,68,CM,Capezzi,"Albacete Balompié","Spain Segunda División",Italy,LONGPASSING
11956,68,LB,Schulz,"St. Pölten","Austria Bundesliga",Germany,CROSSING
11957,68,RB,Pillud,"Racing Club de Avellaneda","Argentina Primera División",Argentina,REACTIONS
11958,68,CDM,Escassi,"CD Numancia","Spain Segunda División",Spain,PASSING
11959,68,CB,Kouassi,"FC Sion","Switzerland Super League","Côte d Ivoire",AGGRESSION
11960,68,CB,Carrasco,"Godoy Cruz","Argentina Primera División",Argentina,STRENGTH
11961,68,LB,"Guilherme Sityá","Jagiellonia Białystok","Poland Ekstraklasa",Brazil,CROSSING
11962,68,CM,"Di Gennaro","Juve Stabia","Italy Serie B",Italy,DESTROYER
11963,68,ST,Jeraldino,Atlas,"Mexico Liga MX",Chile,SECONDSTRIKER
11964,68,CDM,"Dja Djédjé",Kayserispor,"Turkey Süper Lig","Côte d Ivoire",INTERCEPTIONS
11965,68,RB,"Van Rankin",Guadalajara,"Mexico Liga MX",Mexico,DEFENDING
11966,68,CDM,Pita,"CD Lugo","Spain Segunda División",Spain,LONGPASSING
11967,68,CB,Clarke-Salter,"Birmingham City","England Championship",England,MARKING
11968,68,CM,Ramírez,"Rionegro Águilas Doradas","Colombia Categoría Primera",Colombia,LONGPASSING
11969,68,CM,Parks,"New York City FC","USA Major League Soccer","United States",PASSING
11970,68,CB,"Roderick Miranda",Famalicão,"Portugal Primeira Liga",Portugal,STRENGTH
11971,68,CF,Moscardelli,Pisa,"Italy Serie B",Italy,SHOOTING
11972,68,CB,Spendlhofer,"Sturm Graz","Austria Bundesliga",Austria,PHYSICAL
11973,68,CB,Quiñones,"Deportes Tolima","Colombia Categoría Primera",Colombia,STRENGTH
11974,68,RM,Camacho,"Club Tijuana","Mexico Liga MX",Uruguay,LONGSHOTS
11975,68,LM,Zapata,Envigado,"Colombia Categoría Primera",Colombia,VISION
11976,68,ST,Yalçın,Beşiktaş,"Turkey Süper Lig",Turkey,POACHER
11977,68,CAM,Williams,"Charlton Athletic","England Championship",Wales,VISION
11978,68,ST,Biabiany,Trapani,"Italy Serie B",France,POACHER
11979,68,CB,"Marco Baixinho","Paços de Ferreira","Portugal Primeira Liga",Portugal,AGGRESSION
11980,68,RB,Dräger,"SC Paderborn 07","Germany 1. Bundesliga",Tunisia,PACE
11981,68,CDM,Stark,"SV Darmstadt 98","Germany 2. Bundesliga",Germany,INTERCEPTIONS
11982,68,GK,"Manolo Reina","RCD Mallorca","Spain Primera División",Spain,HANDLING
11983,68,RM,Barrera,"Pumas U.N.A.M.","Mexico Liga MX",Mexico,FREEKICK
11984,68,ST,Simon,"Central Coast Mariners","Australia A-League",Australia,MARKING
11985,68,ST,Quiroga,Necaxa,"Mexico Liga MX",Argentina,SHOOTING
11986,68,LB,Hughes,"Preston North End","England Championship",Wales,CROSSING
11987,68,CB,"Kim Kee Hee","Ulsan Hyundai","Korea K-League 1","Korea Republic",STRENGTH
11988,68,GK,Reddy,"Perth Glory","Australia A-League",Australia,HOLDING
11989,68,RB,Pucino,Ascoli,"Italy Serie B",Italy,CROSSING
