,Course Name,University,Location,Cost,Cost per,Duration,Extra
1611,Visual and Media Anthropology," HMKW University for Media, Communication and Business "," Berlin, Germany ",8040 EUR,year,2 years,M.A. Full-time Blended Learning
1612,Data Science, University of Trento ," Trento, Italy ",4500 EUR,year,2 years,M.Sc. Full-time
1613,Applied Computer and Information Technology (ACIT), Oslo Metropolitan University ," Oslo, Norway ",0 EUR,year,2 years,M.A. Full-time
1614,Computer Science, University of Stuttgart ," Stuttgart, Germany ",3000 EUR,year,2 years,M.Sc. Full-time
1615,Web Design Technology, Lynn University ," Boca Raton, Florida, United States ",611 EUR,credit,2 years,M.Sc. Full-time
1616,Information Systems Management, Haaga-Helia University of Applied Sciences ," Helsinki, Finland ",9500 EUR,year,1½ years,M.B.A. Full-time
1617,Information and Communication Engineering, Southwest Jiaotong University ," Leshan, China ",3786 EUR,year,3 years,Full-time
1618,Artificial Intelligence, University of Surrey ," Guildford, England, United Kingdom ",26097 EUR,year,1 year,Full-time Part-time
1619,Information Technology (Systems Engineering), University of Maryland University College , Online ,544 EUR,credit,1 year,M.Sc. Part-time
1620,Data Science, University of Glasgow ," Glasgow, Scotland, United Kingdom ",28590 EUR,year,1 year,M.Sc. Full-time
1621,Geography, York University ," Toronto, Canada ",8527 EUR,year,2 years,M.A. Full-time
1622,Computer Engineering, California State University Fullerton ," Fullerton, California, United States ",12765 EUR,year,1 year,M.Sc. Full-time
1623,Digital Media and Society, Loughborough University ," Loughborough, England, United Kingdom ",23243 EUR,year,1 year,M.A. Full-time
1624,Information Security and Assurance, George Mason University ," Fairfax, Virginia, United States ",1166 EUR,credit,1 year,M.Sc. Full-time
1625,Computer Engineering, Villanova University ," Philadelphia, Mississippi, United States ",1189 EUR,credit,1 year,M.Sc. Full-time Part-time Blended Learning
1626,Information Security, Stockholm University ," Stockholm, Sweden ",13400 EUR,year,2 years,M.Sc. Full-time
1627,Computer Information Systems, Boston University ," Boston, Massachusetts, United States ",48361 EUR,year,1 year,M.Sc. Full-time
1628,Healthcare Systems Engineering, Loyola Marymount University ," Los Angeles, California, United States ",13725 EUR,year,1 year,M.Sc. Full-time
1629,Computer Engineering - Computer Systems, Arizona State University ," Tempe Junction, Arizona, United States ",1156 EUR,credit,1 year,M.Sc. Full-time
1630,Computer Games Art and Design," Goldsmiths, University of London "," London, England, United Kingdom ",18781 EUR,year,1 year,M.A. Full-time Part-time
1631,Digital marketing and Web Design," Varna Free University ""Chernorizets Hrabar"" "," Varna, Bulgaria ",5600 EUR,year,1½ years,Full-time Part-time
1632,Multimedia Information Technology, City University of Hong Kong ," Hong Kong, Hong Kong (SAR) ",552 EUR,credit,1 year,M.Sc. Full-time Part-time
1633,Cyber Security (online), Quinnipiac University , Online ,797 EUR,credit,2 years,M.Sc. Part-time
1634,Computer Science and Molecular Biology, Roskilde University ," Roskilde, Denmark ",18000 EUR,year,2 years,M.Sc. Full-time
1635,"Engineering, Computer Engineering Specialization", Colorado State University , Online ,582 EUR,credit,2 years,M.Eng. Part-time
1636,Geographic Information Science, Victoria University of Wellington ," Wellington, New Zealand ",35347 EUR,year,1 year,Full-time Part-time
1637,Computational and Software Techniques in Engineering - Computational Intelligence for Data Analytics, Cranfield University ," Cranfield, England, United Kingdom ",25049 EUR,year,1 year,M.Sc. Full-time Part-time
1638,Applied Geotechnics, The University of Exeter ," Exeter, England, United Kingdom ",27320 EUR,year,1 year,Full-time Part-time
1639,Digital Marketing, Algebra University College ," Zagreb, Croatia ",4960 EUR,year,2 years,Full-time
1640,Health Informatics, University College London (UCL) , Multiple locations ,33204 EUR,year,1 year,M.Sc. Full-time Part-time
1641,Information Technology, Brno University of Technology ," Brno, Czech Republic ",3000 EUR,year,2 years,Full-time
1642,Control Systems and Computer Science in Engineering, Moscow Aviation Institute ," Moscow, Russia ",4955 EUR,year,2 years,Full-time
1643,Software Engineering and Applications, University of Bedfordshire ," Luton, England, United Kingdom ",15466 EUR,year,1 year,M.Sc. Full-time Part-time
1644,Information Assurance - Cybersecurity, Strayer University , Online ,2056 EUR,module,1 year,M.Sc. Part-time
1645,"Control, Microsystems, Microelectronics", University of Bremen ," Bremen, Germany ",0 EUR,year,2 years,M.Sc. Full-time
1646,Green Networking and Cloud Computing, Luleå University of Technology ," Luleå, Sweden ",27893 EUR,year,2 years,Full-time
1647,Privacy Law and Cybersecurity, University of Southern California ," Los Angeles, California, United States ",48939 EUR,year,1 year,LL.M. Full-time
1648,"Corporate Law, Computing and Innovation (part-time)", Ulster University ," Belfast, N Ireland, United Kingdom ",17371 EUR,year,2 years,Part-time
1649,Game Art, Pearson College London ," London, England, United Kingdom ",20965 EUR,year,1 year,M.A. Full-time
1650,Health Informatics, University College London (UCL) , Multiple locations ,33204 EUR,year,1 year,M.Sc. Full-time Part-time
1651,Information Technology, Brno University of Technology ," Brno, Czech Republic ",3000 EUR,year,2 years,Full-time
1652,Control Systems and Computer Science in Engineering, Moscow Aviation Institute ," Moscow, Russia ",4955 EUR,year,2 years,Full-time
1653,Software Engineering and Applications, University of Bedfordshire ," Luton, England, United Kingdom ",15466 EUR,year,1 year,M.Sc. Full-time Part-time
1654,Information Assurance - Cybersecurity, Strayer University , Online ,2056 EUR,module,1 year,M.Sc. Part-time
1655,"Control, Microsystems, Microelectronics", University of Bremen ," Bremen, Germany ",0 EUR,year,2 years,M.Sc. Full-time
1656,Green Networking and Cloud Computing, Luleå University of Technology ," Luleå, Sweden ",27893 EUR,year,2 years,Full-time
1657,Privacy Law and Cybersecurity, University of Southern California ," Los Angeles, California, United States ",48939 EUR,year,1 year,LL.M. Full-time
1658,"Corporate Law, Computing and Innovation (part-time)", Ulster University ," Belfast, N Ireland, United Kingdom ",17371 EUR,year,2 years,Part-time
1659,Game Art, Pearson College London ," London, England, United Kingdom ",20965 EUR,year,1 year,M.A. Full-time
1660,Software Engineering, Stevens Institute of Technology ," Hoboken, New Jersey, United States ",32105 EUR,year,1 year,M.Sc. Full-time
1661,Information Management, University of Johannesburg ," Johannesburg, South Africa ",851 EUR,year,1 year,M.Phil. Full-time
1662,Applied Security and Analytics, University of Findlay ," Findlay, Ohio, United States ",619 EUR,credit,2 years,M.Sc. Full-time Part-time Online
1663,Data Analytics and Artificial Intelligence, EDHEC Business School ," Lille, France ",24900 EUR,year,1 year,M.Sc. Full-time
1664,"Electronic and Computer Engineering, Electronic and Sport Engineering", Griffith University ," Brisbane, Queensland, Australia ",22908 EUR,year,2 years,Full-time Part-time
1665,Financial Data Science, UCD Michael Smurfit Graduate Business School ," Dublin, Ireland ",,,1 year,M.Sc. Full-time Part-time
1666,Machinery, Shanghai Ocean University ," Shanghai, China ",3907 EUR,year,3 years,Full-time
1667,Statistics, University of Canterbury ," Christchurch, New Zealand ",23487 EUR,year,1 year,M.Sc. Full-time Part-time
1668,Healthcare Data Science, University of Southern California ," Los Angeles, California, United States ",1816 EUR,credit,2 years,M.Sc. Full-time
1669,Business Analytics, University of Surrey ," Guildford, England, United Kingdom ",23534 EUR,year,1 year,M.Sc. Full-time Part-time
1670,Computer Science, Nottingham Trent University ," Nottingham, England, United Kingdom ",17592 EUR,year,1 year,M.Sc. Full-time Part-time
1671,Computational Statistics and Machine Learning, University College London (UCL) ," London, England, United Kingdom ",36349 EUR,year,1 year,M.Sc. Full-time
1672,Cybersecurity, Hamad Bin Khalifa University ," Ar Rayyan, Qatar ",20698 EUR,year,2 years,M.Sc. Full-time
1673,Applied Computer Science, Norwegian University of Science and Technology (NTNU) ," Gjøvik, Norway ",0 EUR,year,2 years,Full-time
1674,Public Informatics, Rutgers University ," New Brunswick, New Jersey, United States ",24795 EUR,year,1½ years,Full-time
1675,Information Systems Management, DeVry University , Online ,641 EUR,credit,1 year,M.B.A. Part-time Blended Learning
1676,Digital Business Innovation and Transformation, IMC University of Applied Sciences Krems ," Krems an der Donau, Austria ",7800 EUR,year,2 years,M.A. Part-time
1677,Biochemistry and Molecular Biology, Huazhong University of Science and Technology ," Wuhan, China ",6192 EUR,year,2 years,Full-time
1678,Computational Linguistics, University of Paris ," Paris, France ",242 EUR,year,2 years,Full-time
1679,Artificial Intelligence, Manchester Metropolitan University ," Manchester, England, United Kingdom ",19223 EUR,year,1 year,M.Sc. Full-time Part-time
1680,Computer Science, Nottingham Trent University ," Nottingham, England, United Kingdom ",17592 EUR,year,1 year,M.Sc. Full-time Part-time
1681,Computational Statistics and Machine Learning, University College London (UCL) ," London, England, United Kingdom ",36349 EUR,year,1 year,M.Sc. Full-time
1682,Cybersecurity, Hamad Bin Khalifa University ," Ar Rayyan, Qatar ",20698 EUR,year,2 years,M.Sc. Full-time
1683,Applied Computer Science, Norwegian University of Science and Technology (NTNU) ," Gjøvik, Norway ",0 EUR,year,2 years,Full-time
1684,Public Informatics, Rutgers University ," New Brunswick, New Jersey, United States ",24795 EUR,year,1½ years,Full-time
1685,Information Systems Management, DeVry University , Online ,641 EUR,credit,1 year,M.B.A. Part-time Blended Learning
1686,Digital Business Innovation and Transformation, IMC University of Applied Sciences Krems ," Krems an der Donau, Austria ",7800 EUR,year,2 years,M.A. Part-time
1687,Biochemistry and Molecular Biology, Huazhong University of Science and Technology ," Wuhan, China ",6192 EUR,year,2 years,Full-time
1688,Computational Linguistics, University of Paris ," Paris, France ",242 EUR,year,2 years,Full-time
1689,Artificial Intelligence, Manchester Metropolitan University ," Manchester, England, United Kingdom ",19223 EUR,year,1 year,M.Sc. Full-time Part-time
1690,Geographic Information Systems, University of Otago ," Dunedin, New Zealand ",32274 EUR,year,1 year,Full-time
1691,Information Technologies, University of North Texas ," Denton, Texas, United States ",24911 EUR,year,2 years,M.Sc. Full-time
1692,Computer Science, West Virginia University ," Morgantown, West Virginia, United States ",20514 EUR,year,2 years,M.Sc. Full-time
1693,MAIA - Medical Imaging and Applications EMJMD, University of Girona ," Girona, Spain ",,,2 years,Full-time
1694,Computer Science, Oakland University ," Rochester Hills, Michigan, United States ",17556 EUR,year,1 year,M.Sc. Full-time
1695,Computer Science, University of Nebraska Omaha ," Omaha, Nebraska, United States ",13522 EUR,year,1 year,M.Sc. Full-time
1696,Pre-Master's - Computer Science (Conversion), INTO Manchester ," Manchester, England, United Kingdom ",18938 EUR,year,½ year,Pre-Master Full-time Blended Learning
1697,Software and Information Systems Engineering, Ben-Gurion University of the Negev ," Beersheba, Israel ",4227 EUR,year,2 years,M.Sc. Full-time
1698,Computer Education and Technology Online, Ohio University , Online ,10693 EUR,year,1 year,M.Ed. Part-time
1699,Cloud Computing Architecture, University of Maryland University College , Online ,544 EUR,credit,1 year,Part-time
1700,Science, Curtin University , Multiple locations ,23735 EUR,year,2 years,M.Sc. Full-time
1701,"Informatics - IPAB - Robotics, Computer Vision, Computer Graphics and Animation", The University of Edinburgh ," Edinburgh, Scotland, United Kingdom ",34485 EUR,year,1 year,Full-time Part-time
1702,Computer Science, University of Colorado at Boulder ," Boulder, Colorado, United States ",22687 EUR,year,1 year,Full-time
1703,Applied Bioinformatics Online, University of Delaware , Online ,944 EUR,credit,1 year,M.Sc. Part-time
1704,Cyber Security, Lancaster University ," Lancaster, England, United Kingdom ",28462 EUR,year,1 year,M.Sc. Full-time
1705,Data Analytics and Business Computing, New York University , Multiple locations ,49887 EUR,year,1 year,M.Sc. Full-time
1706,International Security, University of Aberdeen , Online ,0 EUR,year,1 year,M.Sc. Full-time Part-time
1707,Data Science, Florida International University ," West Miami, Florida, United States ",14890 EUR,year,1 year,M.Sc. Full-time
1708,Civil and Environmental Engineering (Engineering Environmental Geomechanics and Geophysics track), Duke University ," Durham, North Carolina, United States ",47816 EUR,year,2 years,M.Sc. Full-time
1709,Digital Learning Leadership, Deakin University  , Online ,6300 EUR,year,2 years,Part-time
1710,Information Systems Management, DeVry University , Online ,641 EUR,credit,1 year,Part-time Blended Learning
1711,Computer Arts, School of Visual Arts ," New York City, New York, United States ",40136 EUR,year,2 years,Full-time
1712,Computer Science - Data Science, Trinity College Dublin ," Dublin, Ireland ",23950 EUR,year,1 year,M.Sc. Full-time
1713,Data Science - Precision Medicine, University of Macau ," Macau, Macao (SAR) ",7924 EUR,year,2 years,M.Sc. Full-time
1714,Cartography and Geography Information System, Henan University ," Kaifeng, China ",2905 EUR,year,3 years,Full-time
1715,Healthcare Information Management, American Public University , Online ,306 EUR,credit,2 months,M.Sc. Part-time
1716,International Business with Data Analytics (part-time), Ulster University ," Derry, N Ireland, United Kingdom ",17371 EUR,year,2 years,M.Sc. Part-time
1717,Computer Science and Technology, Shandong University ," Qingdao, China ",4384 EUR,year,3 years,Full-time
1718,Data Science, University of Essex ," Colchester, England, United Kingdom ",21903 EUR,year,1 year,M.Sc. Full-time
1719,Computer Science, University College London (UCL) , Multiple locations ,36349 EUR,year,1 year,M.Sc. Full-time
1720,Health Informatics, Temple University , Online ,805 EUR,credit,2 years,M.Sc. Part-time
1721,Bioinformatics, University of Georgia ," Athens, Georgia, United States ",20799 EUR,year,2 years,M.Sc. Full-time
1722,Cybersecurity Strategy and Information Management, George Washington University ," Washington, D. C., Washington, D.C., United States ",995 EUR,credit,"1 year, 4 months",Full-time
1723,Computer Science, Towson University ," Towson, Maryland, United States ",912 EUR,credit,1 year,M.Sc. Full-time
1724,Information and Technology Management, University of Dallas ," Dallas, Texas, United States ",1032 EUR,credit,1 year,M.Sc. Full-time Online
1725,Automotive Embedded Software, Politehnica University Timisoara ," Timisoara, Romania ",2430 EUR,year,2 years,M.Eng. Full-time
1726,Cognitive Systems (Human-Computer Symbiosis), Open University of Cyprus , Online ,2700 EUR,year,2 years,M.Sc. Full-time Part-time
1727,Geomatics Engineering, Sultan Qaboos University ," Muscat, Oman ",257 EUR,credit,2 years,M.Sc. Full-time
1728,Artificial Intelligence, Cork Institute of Technology ," Cork, Ireland ",12000 EUR,year,1 year,M.Sc. Full-time Online
1729,Big Data Analytics, San Diego State University ," San Diego, California, United States ",7560 EUR,year,2 years,M.Sc. Full-time
1730,"Data Science, Technology and Innovation (Online Learning)", The University of Edinburgh , Online ,6373 EUR,year,6 years,Part-time
1731,Information Studies, University College Dublin ," Dublin, Ireland ",19900 EUR,year,1 year,M.A. Full-time Part-time
1732,Computer Architecture, Peking University ," Beijing, China ",6450 EUR,year,3 years,Full-time
1733,Cyber Security, Birmingham City University ," Birmingham, England, United Kingdom ",15379 EUR,year,1 year,M.Sc. Full-time Part-time
1734,Cybersecurity, Bellevue University ," Bellevue, Nebraska, United States ",491 EUR,credit,2 years,M.Sc. Full-time Online
1735,Software Engineering and Applications with Project Management, University of Bedfordshire ," Luton, England, United Kingdom ",9087 EUR,year,2 years,M.Sc. Full-time Part-time
1736,Applied Cyber Security, Technological University Dublin ," Abbey Wood, England, United Kingdom ",14500 EUR,year,1½ years,M.Sc. Full-time
1737,Digital Transformation and Innovation - Applied Data Science, University of Ottawa ," Ottawa, Canada ",11650 EUR,year,2 years,Full-time Part-time
1738,Creative Computing, University of the Arts London (UAL) ," London, England, United Kingdom ",26703 EUR,year,1½ years,M.Sc. Full-time
1739,"Youth Justice, Community Safety and Applied Criminology", Middlesex University ," London, England, United Kingdom ",16893 EUR,year,1 year,M.A. Full-time Part-time
1740,Information Technology: Software Engineering, University of Maryland University College , Online ,544 EUR,credit,1 year,M.Sc. Part-time
1741,Electrical and Computer Engineering, Johns Hopkins University ," Baltimore, Maryland, United States ",7854 EUR,year,5 years,M.Sc. Part-time
1742,Master of Computer Science (Software Engineering), University of Wollongong ," Wollongong, New South Wales, Australia ",21869 EUR,year,2 years,Full-time Part-time
1743,Bioinformatics, University of Skövde ," Skövde, Sweden ",12350 EUR,year,1 year,M.Sc. Full-time
1744,Media Communications, University of Maribor ," Maribor, Slovenia ",4870 EUR,year,2 years,Full-time
1745,Telecommunications Engineering, University of Oklahoma ," Norman, Oklahoma, United States ",33940 EUR,year,2 years,M.Sc. Full-time
1746,Networking & Data Communications with Management Studies, Kingston University ," London, England, United Kingdom ",18175 EUR,year,1 year,M.Sc. Full-time Part-time
1747,Business Analytics - Research, Vrije Universiteit Amsterdam ," Amsterdam, Netherlands ",14236 EUR,year,2 years,M.Sc. Full-time
1748,Quantitative Analysis and Computational Mathematics, Open University of Hong Kong ," Hong Kong, Hong Kong (SAR) ",11508 EUR,year,1 year,M.Sc. Full-time Part-time
1749,Cyber Security and Information Assurance, Mahidol University ," Bangkok, Thailand ",235 EUR,credit,2 years,M.Sc. Full-time
1750,Cybersecurity, Saint Louis University , Online ,13213 EUR,year,2 years,M.Sc. Full-time Blended Learning
1751,Artificial Intelligence with Cyber Security, Anglia Ruskin University ," Cambridge, England, United Kingdom ",16893 EUR,year,1 year,M.Sc. Full-time
1752,Cybersecurity, University of Denver ," Denver, Colorado, United States ",17404 EUR,year,1 year,M.Sc. Full-time
1753,"Cyber Security, Threat Intelligence and Forensics", University of Salford ," Salford, England, United Kingdom ",17511 EUR,year,1 year,M.Sc. Full-time Part-time
1754,Data Science, University Teknologi Mara ," Kuala Lumpur, Malaysia ",6168 EUR,year,1 year,M.Sc. Full-time Part-time
1755,Professional Studies in Data Analytics - Business Analytics Option, Pennsylvania State University , Online ,864 EUR,credit,1 year,Part-time
1756,Data Science and Analytics for Health, University of Leeds ," Leeds, England, United Kingdom ",,,1 year,M.Res. Full-time Part-time
1757,Computing (Internet Technology and Security), University of Northampton ," Northampton, England, United Kingdom ",16311 EUR,year,1 year,M.Sc. Full-time Part-time
1758,Business Information Systems (Stream A - applicants with non-IT backgrounds), City University of Hong Kong ," Hong Kong, Hong Kong (SAR) ",713 EUR,credit,1 year,M.Sc. Full-time Part-time
1759,Operations Research and Financial Engineering, Princeton University ," Princeton, New Jersey, United States ",44504 EUR,year,2 years,Full-time
1760,Informatics at Grenoble (MoSiG), Grenoble INP Institute of engineering Univ. Grenoble Alpes ," Grenoble, France ",250 EUR,year,1 year,M.Sc. Full-time
1761,Computational Science and Engineering, Technical University of Munich ," Beijing, China ",284 EUR,year,2 years,M.Sc. Full-time
1762,Pre-Master's - Management and Information Systems - Change and Development, INTO Manchester ," Manchester, England, United Kingdom ",18938 EUR,year,½ year,Pre-Master Full-time Blended Learning
1763,Graduate Pathway in Software Engineering - Software Engineering, Saint Louis University ," Saint Louis, Missouri, United States ",,,½ year,Pre-Master Full-time
1764,Data Science, University of Sydney ," Sydney, New South Wales, Australia ",30226 EUR,year,1 year,Full-time Part-time
1765,Mathematics and Computer Science, Royal Military College of Canada ," Kingston, Canada ",9567 EUR,year,2 years,M.Sc. Full-time
1766,Geology and Geological Engineering, South Dakota School of Mines & Technology ," Rapid City, South Dakota, United States ",11995 EUR,year,1 year,M.Sc. Full-time
1767,Data Analytics, Robert Morris University ," New York City, New York, United States ",793 EUR,credit,1 year,M.Sc. Full-time Part-time Online
1768,3D Design and Technologies, York St John University ," York, England, United Kingdom ",14854 EUR,year,1 year,M.Sc. Full-time
1769,Data Science, Michigan Technological University ," Houghton, Michigan, United States ",20163 EUR,year,1 year,M.Sc. Full-time
1770,Computer Science, KAUST: King Abdullah University of Science and Technology ," Thuwal, Saudi Arabia ",,,1 year,M.Sc. Full-time
1771,Cost Effectiveness Modelling for Health Technology Assessment, University of Sheffield , Online ,4660 EUR,year,2 years,Postgraduate Certificate Part-time
1772,Global Business - Information Systems and Data Analytics, Troy University ," Troy, Alabama, United States ",702 EUR,credit,1 year,M.B.A. Full-time
1773,Information Engineering, The Chinese University of Hong Kong ," Hong Kong, Hong Kong (SAR) ",4480 EUR,year,1 year,M.Phil. Full-time Part-time
1774,Cybersecurity (Conversion), University of Chester ," Chester, England, United Kingdom ",14505 EUR,year,1 year,M.Sc. Full-time Part-time
1775,Data Sciences and Business Analytics, ESSEC Business School ," Cergy-Pontoise, France ",12000 EUR,year,2 years,M.Sc. Full-time
1776,Information and Communication Technology, Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU) ," Erlangen, Germany ",0 EUR,year,2 years,M.Sc. Full-time
1777,Geospatial Technologies (Erasmus Mundus Program), Universidade Nova de Lisboa ," Lisbon, Portugal ",3000 EUR,year,1½ years,Full-time
1778,Information and Communication Engineering, Northwestern Polytechnical University , Multiple locations ,3810 EUR,year,2½ years,Full-time
1779,Computing (Advanced), Australian National University ," Canberra, Australian Capital Territory, Australia ",30788 EUR,year,2 years,Full-time
1780,Business Analytics, The Chinese University of Hong Kong ," Hong Kong, Hong Kong (SAR) ",31926 EUR,year,1 year,M.Sc. Full-time
1781,Library and Information Science, Drexel University , Online ,1108 EUR,credit,1 year,Full-time
1782,Biotechnology: Bioinformatics, University of Maryland University College , Online ,544 EUR,credit,1 year,M.Sc. Part-time
1783,Graduate Pathway in Information Security and Assurance, George Mason University ," Fairfax, Virginia, United States ",19085 EUR,year,½ year,Pre-Master Full-time
1784,Spatial Analysis, Ryerson University ," Toronto, Canada ",16168 EUR,year,1 year,Full-time Part-time
1785,Advanced Sciences of Modern Telecommunications, University of Valencia ," Valencia, Spain ",39 EUR,credit,1 year,Full-time
1786,Computer Science, University of Canterbury ," Christchurch, New Zealand ",23332 EUR,year,1 year,M.Sc. Full-time
1787,Computational Science, Florida State University ," Tallahassee, Florida, United States ",917 EUR,credit,2 years,M.Sc. Full-time
1788,Computing and Software, McMaster University ," Hamilton, Canada ",7743 EUR,year,2 years,M.Sc. Full-time
1789,Business Information Technology, University of the Punjab ," Lahore, Pakistan ",826 EUR,year, ,Full-time
1790,Technical Information Systems Engineering, Klaipeda University ," Klaipeda, Lithuania ",4100 EUR,year,2 years,M.Sc. Full-time
1791,"Statistical Analytics, Computing and Modeling", Texas A&M University - Kingsville ," Kingsville, Texas, United States ",22732 EUR,year,1 year,M.Sc. Full-time
1792,Computer Science, University of British Columbia ," Vancouver, Canada ",6083 EUR,year,2 years,M.Sc. Full-time Part-time
1793,Computer Science, University of Birmingham ," Dubai, United Arab Emirates ",26516 EUR,year,1 year,M.Sc. Full-time Part-time
1794,Information Technology, University of Redlands ," Redlands, California, United States ",699 EUR,credit,1 year,M.Sc. Full-time
1795,Big Data Analytics, Edge Hill University ," Cambridge, England, United Kingdom ",15437 EUR,year,1 year,M.Sc. Full-time Part-time
1796,"Knowledge, Information and Data Science", University College London (UCL) , Multiple locations ,30058 EUR,year,1 year,M.Sc. Full-time Part-time
1797,Computer Engineering, University of Padua ," Padova, Italy ",2622 EUR,year,2 years,M.Sc. Full-time
1798,Control in Smartgrids and Distributed Generation, University of the Basque Country ," Bilbao, Spain ",2666 EUR,year,1½ years,Full-time
1799,Information Design and Technology, State University of New York Polytechnic Institute ," Utica, New York, United States ",14033 EUR,year, ,M.Sc. Full-time
1800,Automation and Control, Technical University of Kaiserslautern ," Kaiserslautern, Germany ",0 EUR,year,2 years,M.Sc. Full-time
1801,"Data, Culture and Society", University of Westminster ," London, England, United Kingdom ",17476 EUR,year,1 year,M.A. Full-time Part-time
1802,"Architecture, Computational Technologies", New York Institute of Technology ," Manhattan, New York, United States ",1156 EUR,credit,1½ years,M.Sc. Full-time
1803,Information and Computer Education, National Taiwan Normal University (NTNU) ," Taipei, Taiwan ",3019 EUR,year,1 year,M.A. Full-time
1804,Business Administration (Vancouver), New York Institute of Technology ," Vancouver, Canada ",809 EUR,credit,2 years,M.B.A. Full-time
1805,Information Management and Systems," University of California, Berkeley "," Berkeley, California, United States ",21921 EUR,year,2 years,Full-time
1806,Accounting and Information Analysis, Lehigh University ," Bethlehem, Pennsylvania, United States ",47056 EUR,year,1 year,M.Sc. Full-time
1807,"Computer Vision, Robotics and Machine Learning", University of Surrey ," Guildford, England, United Kingdom ",26097 EUR,year,1 year,M.Sc. Full-time Part-time
1808,Integrated Design and Media, New York University ," New York City, New York, United States ",48138 EUR,year,1 year,M.Sc. Full-time
1809,Mathematical Modelling and Scientific Computing, University of Oxford ," Oxford, England, United Kingdom ",31992 EUR,year,1 year,M.Sc. Full-time
1810,Telecommunication Technology, Technical University of Ostrava ," Ostrava, Czech Republic ",4000 EUR,year,2 years,M.Eng. Full-time
1811,Computing and Information Systems, Queen Mary University of London ," London, England, United Kingdom ",27903 EUR,year,1 year,M.Sc. Full-time Part-time
1812,Computer Science With Speech and Language Processing, University of Sheffield ," Sheffield, England, United Kingdom ",29068 EUR,year,1 year,M.Sc. Full-time
1813,Data Analytics and Visualization, Yeshiva University ," New York City, New York, United States ",918 EUR,credit,1 year,M.Sc. Full-time
1814,Computer Science (Cyber Security), Staffordshire University ," Stoke-on-Trent, England, United Kingdom ",15593 EUR,year,"1 year, 1 month",M.Sc. Full-time Part-time
1815,Design and Development of Digital Business, University College Cork ," Cork, Ireland ",18130 EUR,year,1 year,M.Sc. Full-time
1816,Health Informatics, Rochester Institute of Technology ," Rochester, New York, United States ",43019 EUR,year,2 years,M.Sc. Full-time Online
1817,Bioinformatics, University of Illinois at Urbana Champaign ," Urbana, Illinois, United States ",23507 EUR,year,1 year,M.Sc. Full-time
1818,Earth System and GeoInformation Science, The Chinese University of Hong Kong ," Hong Kong, Hong Kong (SAR) ",4479 EUR,year,3 years,M.Phil. Full-time Part-time
1819,Epidemiology, The University of Iowa ," Iowa City, Iowa, United States ",23971 EUR,year,1 year,M.Sc. Full-time
1820,Telecommunication Technology, Technical University of Ostrava ," Ostrava, Czech Republic ",4000 EUR,year,2 years,M.Eng. Full-time
1821,Computing and Information Systems, Queen Mary University of London ," London, England, United Kingdom ",27903 EUR,year,1 year,M.Sc. Full-time Part-time
1822,Computer Science With Speech and Language Processing, University of Sheffield ," Sheffield, England, United Kingdom ",29068 EUR,year,1 year,M.Sc. Full-time
1823,Data Analytics and Visualization, Yeshiva University ," New York City, New York, United States ",918 EUR,credit,1 year,M.Sc. Full-time
1824,Computer Science (Cyber Security), Staffordshire University ," Stoke-on-Trent, England, United Kingdom ",15593 EUR,year,"1 year, 1 month",M.Sc. Full-time Part-time
1825,Design and Development of Digital Business, University College Cork ," Cork, Ireland ",18130 EUR,year,1 year,M.Sc. Full-time
1826,Health Informatics, Rochester Institute of Technology ," Rochester, New York, United States ",43019 EUR,year,2 years,M.Sc. Full-time Online
1827,Bioinformatics, University of Illinois at Urbana Champaign ," Urbana, Illinois, United States ",23507 EUR,year,1 year,M.Sc. Full-time
1828,Earth System and GeoInformation Science, The Chinese University of Hong Kong ," Hong Kong, Hong Kong (SAR) ",4479 EUR,year,3 years,M.Phil. Full-time Part-time
1829,Epidemiology, The University of Iowa ," Iowa City, Iowa, United States ",23971 EUR,year,1 year,M.Sc. Full-time
1830,Analogue and Digital Integrated Circuit Design, Imperial College London ," London, England, United Kingdom ",39612 EUR,year,1 year,M.Sc. Full-time
1831,Electrical Engineering and Computer Science, Shibaura Institute of Technology ," Tokyo, Japan ",11363 EUR,year,2 years,M.Sc. Full-time
1832,Cybersecurity, California State University San Marcos ," San Marcos, California, United States ",13775 EUR,year,1 year,M.Sc. Full-time
1833,Operations Research and Analytics, London School of Economics and Political Science ," London, England, United Kingdom ",29387 EUR,year,1 year,M.Sc. Full-time
1834,Information Technology, La Trobe University , Multiple locations ,23671 EUR,year,2 years,Full-time Part-time
1835,Adult and Higher Education - Lifelong and E-Learning, University of Central Oklahoma ," Edmond, Oklahoma, United States ",11094 EUR,year,1 year,M.Ed. Full-time
1836,Applied Computer Science, Columbus State University ," Columbus, Georgia, United States ",8096 EUR,year,1 year,M.Sc. Full-time
1837,Systems Medicine, Georgetown University ," Washington, D. C., Washington, D.C., United States ",45210 EUR,year,10 months,M.Sc. Full-time
1838,Animation, Aalto University ," Helsinki, Finland ",15000 EUR,year,2 years,M.Sc. Full-time
1839,Health Data Analytics, University College London (UCL) , Multiple locations ,16602 EUR,year,2 years,M.Sc. Part-time Online
1840,Analogue and Digital Integrated Circuit Design, Imperial College London ," London, England, United Kingdom ",39612 EUR,year,1 year,M.Sc. Full-time
